SMILES,diff
C(C(OC)=O)(=C(C)OC(=C1C#N)N)C1c2ccc(cc2)Cl,19.93
C(=O)(C(NCCCCc1ccccc1)=O)Nc2ccccc2F,8.8
n1(c(ccc2C(=O)Nc3cccc(F)c3)nnc1SCC(=O)NCc4cccc(OC)c4)c2,6.17
C(CCc1ccccc1)(=O)Nc(cc2)ccc2I,6.2200000000000015
C(=O)(NCC1CCCO1)C(NCCCCc2ccccc2)=O,20.78
C(=O)(c1cccc(Cl)c1)N\N=C(/C)\CC(=O)Nc(ccc(c2Cl)Cl)c2,6.95
C(=O)(C\C(\C)=N\NC(COc1ccccc1)=O)Nc2ccccc2CC,6.65
N(=C\c(cc1)ccc1OC)/NC(CCCCC(=O)N\N=C\c(cc2)ccc2OC)=O,10.41
C(=O)(N\N=C\c(cc1)ccc1Cl)c2ccc(cc2)OCc3ccccc3,5.03
C(=O)(N\N=C\c1ccc(C)o1)c(cccn2)c2,19.09
C(=O)(c1ccc(cc1)OC)Oc(cc2)ccc2\C=N\c(cc3)ccc3Br,12.84
C1(C#N)=C(COC)C=C(NC1=S)C,13.95
N(c1cccc(cccc2)c12)C(=O)CN(CC3)CCO3,6.19
C(=O)(NCC(=O)N\N=C\c(ccc(c12)cccc1)c2)c3ccco3,21.76
C1(C#N)(C#N)C(c2ccccc2C(F)(F)F)C(C3)C(C(C#N)=C1N)=CCN3C(C)C,33.33
C(Oc(cccc1C(=O)Nc(ccc(c2C)C)c2)c1)(=S)Nc3ccccc3C,8.889999999999997
[N+](=O)([O-])c1ccccc1C(=O)N\N=C\c(cc2)ccc2OC(=O)c3ccccc3OC(C)=O,42.39
C(CNc(cc1)ccc1I)(=O)N\N=C\c(ccc(c2OC)O)c2,58.38
C(=O)(Nc(cc(C)cc1C)c1)C\C(\C)=N\NC(=O)c2ccc(cc2)NC(C)=O,5.65
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(=O)N\N=C\c(cc1)ccc1O,62.07000000000001
C(=O)(C\C(\C)=N\NC(COc(cc(C)c(c1)Br)c1Br)=O)Nc2ccccc2CC,6.8900000000000015
c(OC)(c(OC)c1)c(OC)cc1C(=O)NCc2cccc(cccc3)c23,22.88000000000001
c1(non2)c2nc(Nc3ccccc3Cl)c(N\N=C\c4ccc(cc4Cl)Cl)n1,9.27
C(=O)(N\N=C\c(cc1)ccc1I)C(=O)Nc2ccc(cc2C)C,19.97
N1(CNc(ccc(c2Cl)Cl)c2)C(=O)\C(\SC1=O)=C/c(cc3)ccc3C(OC)=O,62.11
C1(C#N)(C#N)[C@@H](c2ccccc2)[C@]([H])(C3)C(C(C#N)=C1N)=CCN3C(C)C,13.369999999999996
C(=O)(NCC(=O)N\N=C\c1cc(Cl)ccc1O)c2ccco2,30.15
S(=O)(=O)(c1ccc(cc1)OC)Oc(cc2)ccc2\C=N\NC(=O)c3ccc(cc3)O,51.69
C(CSCc1ccccc1Br)(=O)N\N=C\c(cc2)ccc2OC(C)=O,49.84
C(C(OCC)=O)(=C(C)OC(=C1C#N)N)C1c2ccc(cc2)OCC=C,25.11
c1(cc(\C=N\NC(COc2ccc(cc2Cl)Cl)=O)cc(OC)c1O)[N+](=O)[O-],21.91
[N+](=O)([O-])c(cc1)ccc1C(=O)NC(CSCc2ccccc2)C(=O)N\N=C\c(cc3)ccc3OCCC,7.57
